global_position,country_code,team_name,country,global_pnl
5539,IN,Tradewithbihari,India,0.0
5539,IN,Arbitrage Assaulters,India,0.0
5539,IN,1prosperity8,India,0.0
5539,US,Carrol,United States,0.0
5539,IN,Team black,India,0.0
5539,IN,Hedgers,India,0.0
5539,GB,Westwood,United Kingdom,0.0
5539,MY,QuantAlphaBukitJalil,Malaysia,0.0
5539,IN,Anvishq,India,0.0
5539,IN,Greedy Explorers,India,0.0
5539,IN,TradingNinjas,India,0.0
5539,IN,HiTech,India,0.0
5539,IN,Aone,India,0.0
5539,IN,Robo Traders,India,0.0
5539,IN,hlo,India,0.0
5539,IN,PROS,India,0.0
5539,IN,Team XT,India,0.0
5539,IN,Ojjas,India,0.0
5539,IN,Celestial_glitch,India,0.0
5539,IN,Atul Kumar Tiwari,India,0.0
5539,IN,forgeinfire12,India,0.0
5539,IN,Atharva,India,0.0
5539,IN,Priyansh,India,0.0
5539,IN,Vectonix,India,0.0
5539,IN,Amazon,India,0.0
5539,IN,ApexSGH,India,0.0
5539,IN,aloo ki bujiya,India,0.0
5539,US,traderjoes,United States,0.0
5539,IN,Tradgod,India,0.0
5539,IN,n0ct1v0r4x,India,0.0
5539,IN,Bullish Empire,India,0.0
5539,IN,NaN_Never,India,0.0
5539,IN,Sarvam,India,0.0
5539,IN,Tamil Rockers,India,0.0
5539,IN,MN,India,0.0
5539,IN,NITJ,India,0.0
5539,IN,GLOBAL_MAXIMA,India,0.0
5539,IN,Team aura,India,0.0
5539,IN,who knows,India,0.0
5539,IN,MavTrade,India,0.0
5539,IN,Sunitha,India,0.0
5539,IN,m0nesy,India,0.0
5539,IN,Oops_coding,India,0.0
5539,IN,lazy_bot,India,0.0
5539,US,bytecloud,United States,0.0
5539,IN,TowardsProsperity,India,0.0
5539,IN,Moo_Deng,India,0.0
5539,IN,Team Vermax,India,0.0
5539,IN,Terrific Traders,India,0.0
5539,IN,EsoTeric,India,0.0
5539,IN,holdovers,India,0.0
